URL,Title,Price,Pictures,Category,Description
https://www.tronex.ba/katalog/mlin-za-zacine-studio,"Mlin za začine Studio","10,00",https://www.tronex.ba/wp-content/uploads/Električni-mlin-za-sol-i-papar-Studio-400x400.png,"Kućanski aparati","<div class=""tab-content-scroll"">
                        
<p>Keramički mlin</p>
<p>jednostavno korištenje jednom rukom</p>
<p>ugrađena led rasvjeta</p>
<p>podešavanje finoće mljevenja</p>
<p>6 baterija uključeno</p>
                    </div>"
https://www.tronex.ba/katalog/blender-quigg,"Blender Quigg 42856","29,90",https://www.tronex.ba/wp-content/uploads/Quigg-blender-1-400x400.png,"Blenderi i sokovnici","<div class=""tab-content-scroll"">
                        
<p>Snaga: 500W, 20000 okr/min, posuda 1,5L<br />
Dupli sigurnosni prekidač, nož sa 4 oštrice</p>
                    </div>"
https://www.tronex.ba/katalog/cistac-prozora-easy-home,"Čistač prozora Easy Home GT-FS-03","29,00",https://www.tronex.ba/wp-content/uploads/Čistač-prozora-Easy-Home-400x400.png,"Kućanski aparati","<div class=""tab-content-scroll"">
                        
<p>Adekvatno za čišćenje prozora, ogledala,<br />
pločica, može se koristiti vodoravno ili okomito,<br />
boca za raspršivanje vode gumeni rub od 280mm,<br />
vrijeme rada oko 45min, Li-ion baterije</p>
                    </div>"
https://www.tronex.ba/katalog/masina-za-kolace-ambiano,"Mašina za kolače Ambiano GT CP 01","25,00",https://www.tronex.ba/wp-content/uploads/Cup-Cake-pop-maker-muffin-400x400.png,"Kućanski aparati","<div class=""tab-content-scroll"">
                        
<p>Snaga: 1500W<br />
Kalup za 12 kolačića<br />
Standardni okrugli ili muffin kolačići</p>
                    </div>"
https://www.tronex.ba/katalog/pegla-na-paru-easy-home,"Pegla Easy Home GT-SI-LCD 02","25,00",https://www.tronex.ba/wp-content/uploads/Pegla-Easy-Home-LCD-400x400.png,"Kućanski aparati","<div class=""tab-content-scroll"">
                        
<p>Model: GT-SI-LCD-02</p>
                    </div>"
https://www.tronex.ba/katalog/stapni-mikser,"Štapni mikser LW-3347","29,00",https://www.tronex.ba/wp-content/uploads/Mixer-ručni-Ideen-Welt-LW-3347-400x400.png,"Kućanski aparati","<div class=""tab-content-scroll"">
                        
<p>Model: LW-3347</p>
                    </div>"
https://www.tronex.ba/katalog/bezicno-zvono-ideen-welt,"Bežično zvono Ideen Welt B-289D-3","8,00",https://www.tronex.ba/wp-content/uploads/Bežično-zvono-Ideen-Welt-B-289D-1-400x400.jpg,"Kućanski dodaci","<div class=""tab-content-scroll"">
                        
<p>Bežično zvono Ideen Welt B-289D-3<br />
Domet do 100m<br />
Vanjska jedinica otporna na kišu<br />
38 različitih melodija zvona<br />
Baterije:<br />
Unutarnja jedinica: 3&#215;1,5V, tip AAA<br />
Vanjska jedinica: 1x12V, tip A23</p>
                    </div>"
https://www.tronex.ba/katalog/rezac-papira-talentus,"Rezač papira Talentus OS1004D-1","39,90",https://www.tronex.ba/wp-content/uploads/Uništavač-papira-i-diskova-Talentus-OS1004D-1-1-400x400.jpg,"Kućanski dodaci","<div class=""tab-content-scroll"">
                        
<p>Model: OS1004D-1<br />
Za uništavanje povjerljivih dokumenata<br />
Za uništavanje CD/DVD/Bluray diskova<br />
Za uništavanje kreditnih kartica s magnetskim nosačem podataka<br />
Sitni križni rez za veću sigurnost<br />
Automatsko pokretanje/zaustavljanje<br />
Funkcija zaustavljanja kod prenapunjenosti ili preopterećenosti<br />
Korpa za prikupljanje 21L (za cca 250 listova)<br />
Brzina rezanja 1,8-2,5m/min (ovisno o količini papira)<br />
Moguće je ubacivanje papira sa spajalicama</p>
                    </div>"
https://www.tronex.ba/katalog/daske-za-rezanje-jj,"Daske za rezanje J&#038;J","29,00",https://www.tronex.ba/wp-content/uploads/Daske-JJ-400x400.png,"Kućanski dodaci","<div class=""tab-content-scroll"">
                        
<p>Set 4u1 sa postoljem<br />
Ilustracije za različite tipove namirnica<br />
Jednostavno čišćenje, prikladno za perilicu posuđa<br />
Udubljeni dizajn za sprečavanje curenja tekućina<br />
Gumeni dodaci za sprečavanje klizanja<br />
Dimenzije: 32x22cm</p>
                    </div>"
https://www.tronex.ba/katalog/drzac-za-boce,"Držač za boce","10,00",https://www.tronex.ba/wp-content/uploads/Držač-za-boce-KLC-400x400.png,"Kućanski dodaci","<div class=""tab-content-scroll"">
                        
<p>Držač za vinske boce K Classic</p>
<p>Materijal: nehrđajući čelik<br />
Dimenzije: 23,3 x 8,5 x 21,8cm<br />
Pogodan za uobičajene vinske boce od 0,75L</p>
                    </div>"
